MolecularFormula,split,smiles,Activity(IC50),Activity(pIC50)
C18H23N5O2,train,N#C[C@H]1CCCN1C(=O)CNCCN1CCN(c2ccccc2)C1=O,34.8,7.458420756
C18H22FN5O2,train,N#C[C@H]1CCCN1C(=O)CNCCN1CCN(c2ccccc2F)C1=O,133.6,6.874193542
C19H25N5O2,train,Cc1ccc(N2CCN(CCNCC(=O)N3CCC[C@@H]3C#N)C2=O)cc1,29.3,7.53313238
C18H22FN5O2,train,N#C[C@H]1CCCN1C(=O)CNCCN1CCN(c2ccc(F)cc2)C1=O,44.5,7.351639989
C18H22FN5O2,train,N#C[C@H]1CCCN1C(=O)CNCCN1CCN(c2cccc(F)c2)C1=O,60.1,7.221125528
C16H27N5O2,train,CC(C)(C)N1CCN(CCNCC(=O)N2CCC[C@@H]2C#N)C1=O,68.1,7.166852888
C15H25N5O2,train,CC(C)N1CCN(CCNCC(=O)N2CCC[C@@H]2C#N)C1=O,47.8,7.320572103
C18H29N5O2,train,N#C[C@H]1CCCN1C(=O)CNCCN1CCN(C2CCCCC2)C1=O,68.6,7.163675884
C19H25N5O3,train,COc1ccc(N2CCN(CCNCC(=O)N3CCC[C@@H]3C#N)C2=O)cc1,82.4,7.084072788
C20H27N5O4,train,COc1cc(OC)cc(N2CCN(CCNCC(=O)N3CCC[C@@H]3C#N)C2=O)c1,20.4,7.690369833
C23H20F7N5O,train,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)[C@H]1Cc1ccc(F)cc1)Cc1cc(F)c(F)cc1F,0.18,9.744727495
C21H19Cl2N3O2,train,COc1cc2c(cc1OC)-c1nc(N)c(CN)c(-c3ccc(Cl)cc3Cl)c1C2,7,8.15490196
C17H29FN4O4,train,CC(C)(CO)NCC(=O)N1C[C@@H](F)C[C@H]1[C@@H](O)c1nnc(C(C)(C)C)o1,22,7.657577319
C22H27FN2O2,train,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(CF)c3)CN1CC2,0.5,9.301029996
