MolecularFormula,split,smiles,Activity(IC50),Activity(pIC50)
C24H24F2N4O3,train,N#C[C@@H]1CCCN1C(=O)CNC(=O)CCC(=O)NC(c1ccc(F)cc1)c1ccc(F)cc1,100000,4
C22H28FN5O3,train,N#C[C@@H]1CCCN1C(=O)CNC(=O)CCC(=O)N1CCN(Cc2ccc(F)cc2)CC1,100000,4
C28H31F2N5O3,train,N#C[C@@H]1CCCN1C(=O)CNC(=O)CCC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,100000,4
C17H16F2N6O2,train,N#C[C@@H]1CCCN1C(=O)CNC(=O)Cn1cc(-c2ccc(F)c(F)c2)nn1,100000,4
C20H30N8O4,train,CC(C)(C)OC(=O)N1CCN(c2cn(CC(=O)NCC(=O)N3CCC[C@H]3C#N)nn2)CC1,100000,4
C13H16N2O2,train,O=C(NCC(=O)N1CCCC1)c1ccccc1,100000,4
C14H14N6O2,train,N#C[C@@H]1C[C@H](N=[N+]=[N-])CN1C(=O)CNC(=O)c1ccccc1,100000,4
C18H16N6O2,train,N#C[C@@H]1C[C@H](N=[N+]=[N-])CN1C(=O)CNC(=O)c1cccc2ccccc12,100000,4
C18H16N6O2,train,N#C[C@@H]1C[C@@H](N=[N+]=[N-])CN1C(=O)CNC(=O)c1cccc2ccccc12,100000,4
C18H16FN3O2,train,N#C[C@@H]1C[C@H](F)CN1C(=O)CNC(=O)c1cccc2ccccc12,100000,4
C14H13F2N3O2,train,N#C[C@@H]1CC(F)(F)CN1C(=O)CNC(=O)c1ccccc1,100000,4
C19H17N3O2,train,C=C1C[C@@H](C#N)N(C(=O)CNC(=O)c2cccc3ccccc23)C1,100000,4
C19H19N3O2,train,N#C[C@@H]1CCCCN1C(=O)CNC(=O)c1cccc2ccccc12,100000,4
C24H23N7O,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2[nH]c(-c3cccnc3)cc2c1=O,2.34,8.630784143
C20H25N3O2,train,N#C[C@@H]1CCCN1C(=O)[C@H]1CCCN1C(=O)CCCc1ccccc1,100000,4
C14H15N3O2,train,N#C[C@@H]1CCCN1C(=O)CNC(=O)c1ccccc1,100000,4
C12H19N3O2,train,CC(C)CC(=O)NCC(=O)N1CCC[C@H]1C#N,100000,4
C21H30N4O2,train,CC(C)(CC(=O)NC(C)(C)c1ccccc1)NCC(=O)N1CCC[C@H]1C#N,1108,5.95546024
C17H21N5O4,train,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)NCc1ccc([N+](=O)[O-])cc1,317,6.498940738
C21H26FN3O3,train,C[C@@H](c1ccc(-c2cn(C)c(=O)cc2CO)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,38,7.420216403
C20H22ClF2N3O2,train,C[C@@H](c1ccc(-c2cn(C)c(=O)c(Cl)c2F)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,37,7.431798276
C21H25BrFN3O2,train,Cc1c(-c2ccc([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)cc(Br)c(=O)n1C,570,6.244125144
C20H25N3O2,train,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CCCC1,48,7.318758763
C17H20O9,train,COC(=O)C1(O)CC(O)C(O)C(OC(=O)/C=C/c2ccc(O)c(O)c2)C1,41400,4.382999659
C20H23F2N3O2,train,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2F)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,29,7.537602002
C19H25N5OS2,train,O=C([C@@H]1C[C@H](N2CCN(c3nc4ccccc4s3)CC2)CN1)N1CCSC1,0.55,9.259637311
C20H24N6OS2,train,N#Cc1ccc2sc(N3CCN([C@@H]4CN[C@H](C(=O)N5CCSC5)C4)CC3)nc2c1,0.42,9.37675071
C22H26F3N5OS,train,O=C([C@@H]1C[C@H](N2CCN(c3ccnc4cc(C(F)(F)F)ccc34)CC2)CN1)N1CCSC1,1.6,8.795880017
C19H26N6OS,train,O=C([C@@H]1C[C@H](N2CCN(c3nc4ccccc4[nH]3)CC2)CN1)N1CCSC1,0.8,9.096910013
C19H25ClN6OS,train,O=C([C@@H]1C[C@H](N2CCN(c3nc4cc(Cl)ccc4[nH]3)CC2)CN1)N1CCSC1,0.59,9.229147988
C19H25N5O2S,train,O=C([C@@H]1C[C@H](N2CCN(c3nc4ccccc4o3)CC2)CN1)N1CCSC1,1.2,8.920818754
C21H27N5OS,train,O=C([C@@H]1C[C@H](N2CCN(c3ccc4ccccc4n3)CC2)CN1)N1CCSC1,2.2,8.657577319
C21H27N5OS,train,O=C([C@@H]1C[C@H](N2CCN(c3ccnc4ccccc34)CC2)CN1)N1CCSC1,0.95,9.022276395
C22H26F3N5OS,train,O=C([C@@H]1C[C@H](N2CCN(c3cc(C(F)(F)F)nc4ccccc34)CC2)CN1)N1CCSC1,0.37,9.431798276
C21H26ClN5OS,train,O=C([C@@H]1C[C@H](N2CCN(c3ccnc4cc(Cl)ccc34)CC2)CN1)N1CCSC1,0.61,9.214670165
C21H27N5OS,train,O=C([C@@H]1C[C@H](N2CCN(c3nccc4ccccc34)CC2)CN1)N1CCSC1,0.61,9.214670165
C21H26ClN5OS,train,O=C([C@@H]1C[C@H](N2CCN(c3ncc(Cl)c4ccccc34)CC2)CN1)N1CCSC1,0.73,9.13667714
C25H25F2N3O2,train,C[C@@H](c1ccc(-c2ccc(=O)n(-c3ccc(F)cc3)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,229,6.640164518
C7H15BN2O4,train,C[C@H](N)C(=O)N1C[C@H](O)C[C@H]1B(O)O,23,7.638272164
C7H14BFN2O3,train,C[C@H](N)C(=O)N1C[C@H](F)C[C@H]1B(O)O,2.1,8.677780705
C7H13BN2O4,train,C[C@H](N)C(=O)N1CC(=O)C[C@H]1B(O)O,200,6.698970004
C7H14BClN2O3,train,C[C@H](N)C(=O)N1C[C@@H](Cl)C[C@H]1B(O)O,18000,4.744727495
C9H17BN2O6,train,N[C@@H](CCC(=O)O)C(=O)N1C[C@@H](O)C[C@H]1B(O)O,29,7.537602002
C9H17BN2O6,train,N[C@@H](CCC(=O)O)C(=O)N1C[C@H](O)C[C@H]1B(O)O,17,7.769551079
C9H17BN2O4,train,O=C([C@@H]1CCCN1)N1C[C@@H](O)C[C@H]1B(O)O,6.2,8.207608311
C9H17BN2O5,train,O=C([C@@H]1C[C@@H](O)CN1)N1C[C@@H](O)C[C@H]1B(O)O,20,7.698970004
C9H17BN2O5,train,O=C([C@@H]1C[C@@H](O)CN1)N1C[C@H](O)C[C@H]1B(O)O,48,7.318758763
C9H17BN2O5,train,O=C([C@@H]1C[C@H](O)CN1)N1C[C@H](O)C[C@H]1B(O)O,16,7.795880017
C10H19BN2O6,train,N[C@@H](CCCC(=O)O)C(=O)N1C[C@H](O)C[C@H]1B(O)O,17,7.769551079
C10H22BN5O4,train,N=C(N)NCCC[C@H](N)C(=O)N1C[C@@H](O)C[C@H]1B(O)O,0.3,9.522878745
C20H24FN3O2,train,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,34,7.468521083
C13H12ClN,train,NCc1ccccc1-c1ccccc1Cl,2300,5.638272164
C20H23F2N3O2,train,C[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1,26,7.585026652
C21H26FN3O2,train,CCn1cc(-c2ccc([C@H](C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)ccc1=O,74,7.13076828
C6H13BN2O3,train,C[C@@H](B(O)O)N1CC[C@H](N)C1=O,480,6.318758763
C23H22F3N5O2,train,N[C@@H](CC(=O)N1CCN(C(=O)c2ccc3cccnc3n2)CC1)Cc1cc(F)c(F)cc1F,36.7,7.435333936
C16H24N4O,train,C[C@H]1CC(C)(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)C[C@H]1C,3000,5.522878745
C20H21F3N4O3,train,N[C@@H](CC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1)Cc1cc(F)c(F)cc1F,85.7,7.067019178
C20H20F5N3O,train,N[C@@H](CC(=O)N1CCN(c2ccc(F)cc2F)CC1)Cc1cc(F)c(F)cc1F,291,6.536107011
C22H26F3N3O2,train,CC(O)c1ccc(N2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2)cc1,264,6.578396073
C22H24F3N3O2,train,CC(=O)c1ccc(N2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2)cc1,99.7,7.001304842
C23H28F3N3O3,train,COc1cc(CN2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2)cc(OC)c1,103,6.987162775
C27H26F5N3O,train,N[C@@H](CC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)Cc1cc(F)c(F)cc1F,212,6.673664139
C21H22F3N3O2,train,N[C@@H](CC(=O)N1CCN(C(=O)c2ccccc2)CC1)Cc1cc(F)c(F)cc1F,52.6,7.279014256
C21H21F4N3O2,train,N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(F)cc2)CC1)Cc1cc(F)c(F)cc1F,45.3,7.343901798
C21H22F3N3O3,train,N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(O)cc2)CC1)Cc1cc(F)c(F)cc1F,39,7.408935393
C22H21F6N3O3,train,N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(OC(F)(F)F)cc2)CC1)Cc1cc(F)c(F)cc1F,64.6,7.189767482
C22H22F3N3O4,train,N[C@@H](CC(=O)N1CCN(C(=O)c2cccc(C(=O)O)c2)CC1)Cc1cc(F)c(F)cc1F,56.9,7.244887734
C19H20F3N3O3,train,N[C@@H](CC(=O)N1CCN(C(=O)c2ccco2)CC1)Cc1cc(F)c(F)cc1F,67.7,7.169411331
C24H23F3N4O2,train,N[C@@H](CC(=O)N1CCN(C(=O)c2ccc3ccccc3n2)CC1)Cc1cc(F)c(F)cc1F,24.9,7.603800653
C24H24F3N3O4,train,COc1cccc2cc(C(=O)N3CCN(C(=O)C[C@H](N)Cc4cc(F)c(F)cc4F)CC3)oc12,65.4,7.184422252
C19H20F3N5O2,train,N[C@@H](CC(=O)N1CCN(C(=O)c2cnccn2)CC1)Cc1cc(F)c(F)cc1F,74.4,7.128427064
C20H21F3N4O3,train,N[C@@H](CC(=O)N1CCN(C(=O)c2ccc(O)nc2)CC1)Cc1cc(F)c(F)cc1F,91.5,7.038578906
C24H23F3N4O4,train,N[C@@H](CC(=O)N1CCN(C(=O)c2cc(O)c3cccc(O)c3n2)CC1)Cc1cc(F)c(F)cc1F,31.2,7.505845406
C23H22F3N3O2S,train,N[C@@H](CC(=O)N1CCN(C(=O)c2cc3ccccc3s2)CC1)Cc1cc(F)c(F)cc1F,50.6,7.295849483
C24H25F3N4O2,train,Cn1c(C(=O)N2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2)cc2ccccc21,33.9,7.469800302
C26H24F4N4O2,train,N[C@@H](CC(=O)N1CCN(C(=O)c2cccc(-c3ccc(F)cc3)n2)CC1)Cc1cc(F)c(F)cc1F,30.5,7.515700161
C20H20F4N4O2,train,N[C@@H](CC(=O)N1CCN(C(=O)c2cccc(F)n2)CC1)Cc1cc(F)c(F)cc1F,113.9,6.943476276
C20H19F5N4O2,train,N[C@@H](CC(=O)N1CCN(C(=O)c2ncc(F)cc2F)CC1)Cc1cc(F)c(F)cc1F,57.4,7.241088108
C22H25FN6O2,train,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3nncn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,4.1,8.387216143
C15H22N4O,train,CC1CCC(C)(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)C1,771,6.112945622
C19H30N4O,train,CCC(C)(C)C1CCC(C)(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)C1,3000,5.522878745
C18H24N4O2,train,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,74,7.13076828
C18H24N4O,train,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC12CC3CC(CC(C3)C1)C2,106,6.974694135
C13H20N4O,train,CCC(C)(C)NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N,3000,5.522878745
C17H26N4O2,train,CCCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,123,6.910094889
C15H19N3O3,train,NC(=O)[C@@H]1CCCN1C(=O)CCNC(=O)c1ccccc1,320,6.494850022
C16H21N3O4,train,COc1ccc(C(=O)NCCC(=O)N2CCC[C@H]2C(N)=O)cc1,890,6.050609993
C15H19N3O4,train,NC(=O)[C@@H]1CCCN1C(=O)CCNC(=O)c1ccc(O)cc1,863,6.063989204
C15H18FN3O3,train,NC(=O)[C@@H]1CCCN1C(=O)CCNC(=O)c1ccc(F)cc1,93,7.031517051
C16H18F3N3O3,train,NC(=O)[C@@H]1CCCN1C(=O)CCNC(=O)c1ccc(C(F)(F)F)cc1,28,7.552841969
C16H21N3O3,train,Cc1ccc(C(=O)NCCC(=O)N2CCC[C@H]2C(N)=O)cc1,715,6.145693958
C21H23N3O3,train,NC(=O)[C@@H]1CCCN1C(=O)CCNC(=O)c1ccc(-c2ccccc2)cc1,107,6.970616222
C17H23N3O4,train,COc1ccc(C(=O)NCCCC(=O)N2CCC[C@H]2C(N)=O)cc1,869,6.060980224
C16H20FN3O3,train,NC(=O)[C@@H]1CCCN1C(=O)CCCNC(=O)c1ccc(F)cc1,74,7.13076828
C17H20N4O3,train,N#Cc1ccc(C(=O)NCCCC(=O)N2CCC[C@H]2C(N)=O)cc1,26,7.585026652
C17H20F3N3O3,train,NC(=O)[C@@H]1CCCN1C(=O)CCCNC(=O)c1ccc(C(F)(F)F)cc1,19,7.721246399
C17H23N3O3,train,Cc1ccc(C(=O)NCCCC(=O)N2CCC[C@H]2C(N)=O)cc1,694,6.15864053
C22H25N3O3,train,NC(=O)[C@@H]1CCCN1C(=O)CCCNC(=O)c1ccc(-c2ccccc2)cc1,104,6.982966661
C19H19N3O3,train,NC(=O)[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccccc2)cc1,311,6.507239611
C20H21N3O4,train,COc1ccc(C(=O)Nc2ccc(C(=O)N3CCC[C@H]3C(N)=O)cc2)cc1,879,6.056011125
C19H19N3O4,train,NC(=O)[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccc(O)cc2)cc1,863,6.063989204
C19H18FN3O3,train,NC(=O)[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccc(F)cc2)cc1,100,7
C20H18N4O3,train,N#Cc1ccc(C(=O)Nc2ccc(C(=O)N3CCC[C@H]3C(N)=O)cc2)cc1,34,7.468521083
C20H18F3N3O3,train,NC(=O)[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)cc1,31,7.508638306
C20H21N3O3,train,Cc1ccc(C(=O)Nc2ccc(C(=O)N3CCC[C@H]3C(N)=O)cc2)cc1,723,6.140861703
C25H23N3O3,train,NC(=O)[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1,116,6.935542011
C16H16F3N3O2,train,N#C[C@@H]1CCCN1C(=O)CCNC(=O)c1ccc(C(F)(F)F)cc1,13.2,7.879426069
C17H18N4O2,train,N#Cc1ccc(C(=O)NCCCC(=O)N2CCC[C@H]2C#N)cc1,2.3,8.638272164
C17H18F3N3O2,train,N#C[C@@H]1CCCN1C(=O)CCCNC(=O)c1ccc(C(F)(F)F)cc1,3.8,8.420216403
C20H16N4O2,train,N#Cc1ccc(C(=O)Nc2ccc(C(=O)N3CCC[C@H]3C#N)cc2)cc1,11.6,7.935542011
C20H16F3N3O2,train,N#C[C@@H]1CCCN1C(=O)c1ccc(NC(=O)c2ccc(C(F)(F)F)cc2)cc1,14.3,7.844663963
C18H20N4O,train,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(c2ccccc2)CCC1,164,6.785156152
C15H22N4O3,train,CC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)COC(C)(C)OC1,3000,5.522878745
C12H18N4O,train,CC(C)(C)NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N,663,6.178486472
C15H22N4O2,train,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(CO)CCCCC1,687,6.163043263
C22H24F2N6O2,train,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3nccc3n2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1,7.5,8.124938737
C18H21FN4O,train,CC(C)(Cc1ccc(F)cc1)NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N,651,6.186419011
C23H27FN6O2,train,Cc1c(-c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)ccc2ncnn12,8.6,8.065501549
C19H22N4O,train,N#C[C@@H]1CC[C@H](C#N)N1C(=O)CNC1(Cc2ccccc2)CCC1,1160,5.935542011
C22H27FN4O3,train,CN(C)C(=O)[C@@H](c1ccc(-c2ccc(=O)n(C)c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,8,8.096910013
C16H24N4O2,train,CCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,64,7.193820026
C23H27FN6O2,train,Cc1nc2ccc(-c3ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N4CC[C@H](F)C4)cc3)cn2n1,223,6.651695137
C15H20N4O3,train,COC(=O)C1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,3000,5.522878745
C19H25N3O2,train,Cc1ccc2c(c1)CN(C(=O)[C@@H]1CN[C@H](C(=O)N3CCCC3)C1)C2,72,7.142667504
C18H28N4O2,train,CCCCOCC1(NCC(=O)N2[C@H](C#N)CC[C@@H]2C#N)CCCC1,91,7.040958608
C18H22FN3O2,train,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccc(F)cc2C1,73,7.13667714
C17H20N4O,train,CC(C)(NCC(=O)N1[C@H](C#N)CC[C@@H]1C#N)c1ccccc1,261,6.583359493
C15H10O4,train,O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12,200000,3.698970004
C19H25N3O2,train,N#C[C@@H]1CC[C@H](c2ccccc2)N1C(=O)CNC1(CO)CCCC1,30000,4.522878745
C17H21N3O2S,train,O=C([C@@H]1CN[C@H](C(=O)N2CCSC2)C1)N1Cc2ccccc2C1,84,7.075720714
C22H25FN6O2,train,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3nccc3n2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,8,8.096910013
C17H20F2N4O3S,train,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,2.22,8.653647026
C23H27FN6O2,train,Cc1cc(-c2ccc([C@H](C(=O)N(C)C)[C@H](N)C(=O)N3CC[C@H](F)C3)cc2)cn2ncnc12,640,6.193820026
C19H22F3N3O2,train,O=C([C@@H]1CN[C@H](C(=O)N2CCCC2)C1)N1Cc2ccc(C(F)(F)F)cc2C1,73,7.13667714
C22H24F2N6O2,train,CN(C)C(=O)[C@@H](c1ccc(-c2ccn3ncnc3c2)cc1)[C@H](N)C(=O)N1CCC(F)(F)C1,6.2,8.207608311
C17H23N3O2,train,O=C(NCc1ccccc1)[C@@H]1CN[C@H](C(=O)N2CCCC2)C1,1957,5.708409174
C18H25N3O2,train,O=C(NCCc1ccccc1)[C@@H]1CN[C@H](C(=O)N2CCCC2)C1,2587,5.587203571
C21H23FN6O2,train,CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CC(F)C1,41,7.387216143
C23H30ClN3O,train,N[C@@H](C[C@@H](Cc1ccccc1)NCc1ccc(Cl)cc1)C(=O)N1CCCCC1,125000,3.903089987
C17H31N3O4,train,CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)[C@@H](C)CC,2530,5.596879479
C20H32ClN3O,train,CCC(C)[C@@H](C[C@H](N)C(=O)N1CCCCC1)NCc1ccc(Cl)cc1,234000,3.630784143
C24H24ClN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2cccc(Cl)c2)c2cc(C(=O)O)ccc21,110,6.958607315
C25H27N5O3,train,Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2c3cc(C(=O)O)ccc3n(C)c(=O)c21,11,7.958607315
C24H24FN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2F)c2cc(C(=O)O)ccc21,160,6.795880017
C24H24ClN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccc(Cl)cc2)c2cc(C(=O)O)ccc21,10000,5
C25H27N5O4,train,COc1cccc(Cn2c(N3CCC[C@@H](N)C3)nc3c4cc(C(=O)O)ccc4n(C)c(=O)c32)c1,150,6.823908741
C25H26ClN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2CCc2ccccc2Cl)c2cc(C(=O)O)ccc21,3500,5.455931956
C21H23N5O3,train,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c3cc(C(=O)O)ccc3n(C)c(=O)c21,90,7.045757491
C24H23Cl2N5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2cc(Cl)ccc2Cl)c2cc(C(=O)O)ccc21,25,7.602059991
C24H23ClFN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2cc(F)ccc2Cl)c2cc(C(=O)O)ccc21,4.8,8.318758763
C24H23ClFN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2cc(F)ccc2Cl)c2ccc(C(=O)O)cc21,0.48,9.318758763
C26H29ClN6O2,train,CN(C)C(=O)c1ccc2c3nc(N4CCC[C@@H](N)C4)n(Cc4ccccc4Cl)c3c(=O)n(C)c2c1,10,8
C24H24ClN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2ccc(C(=O)O)cc21,1.6,8.795880017
C24H26ClN5O2,train,COc1ccc2c(c1)c1nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3Cl)c1c(=O)n2C,90,7.045757491
C23H23ClFN5O,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2cc(F)ccc21,56,7.251811973
C24H25ClN6O2,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2cc(C(N)=O)ccc21,14,7.853871964
C26H29ClN6O2,train,CN(C)C(=O)c1ccc2c(c1)c1nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3Cl)c1c(=O)n2C,13,7.886056648
C24H24ClN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2cc(C(=O)O)ccc21,5.8,8.236572006
C25H26ClN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2cc(CC(=O)O)ccc21,3.5,8.455931956
C24H24ClN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2c(C(=O)O)cccc21,54,7.26760624
C25H26ClN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2c(CC(=O)O)cccc21,17,7.769551079
C24H25N5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2)c2cc(C(=O)O)ccc21,64,7.193820026
C24H26ClN5O,train,CCn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2ccccc21,400,6.397940009
C29H28ClN5O,train,N[C@@H]1CCCN(c2nc3c4ccccc4n(Cc4ccccc4)c(=O)c3n2Cc2ccccc2Cl)C1,10000,5
C24H26ClN5O2,train,COc1cccc2c3nc(N4CCC[C@@H](N)C4)n(Cc4ccccc4Cl)c3c(=O)n(C)c12,660,6.180456064
C25H26ClN5O3,train,COC(=O)c1cccc2c3nc(N4CCC[C@@H](N)C4)n(Cc4ccccc4Cl)c3c(=O)n(C)c12,271,6.567030709
C24H24ClN5O3,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2cccc(C(=O)O)c21,72,7.142667504
C23H23ClFN5O,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2ccc(F)cc21,66,7.180456064
C24H26ClN5O,train,Cc1ccc2c3nc(N4CCC[C@@H](N)C4)n(Cc4ccccc4Cl)c3c(=O)n(C)c2c1,340,6.468521083
C24H26ClN5O2,train,COc1ccc2c3nc(N4CCC[C@@H](N)C4)n(Cc4ccccc4Cl)c3c(=O)n(C)c2c1,66,7.180456064
C24H25ClN6O2,train,Cn1c(=O)c2c(nc(N3CCC[C@@H](N)C3)n2Cc2ccccc2Cl)c2ccc(C(N)=O)cc21,12,7.920818754
C21H28N6OS,train,O=C([C@@H]1C[C@H](N2CCN(c3nccn3-c3ccccc3)CC2)CN1)N1CCSC1,0.26,9.585026652
C19H26N8OS,train,O=C([C@@H]1C[C@H](N2CCN(c3nnnn3-c3ccccc3)CC2)CN1)N1CCSC1,0.2,9.698970004
C19H32N8OS,train,O=C([C@@H]1C[C@H](N2CCN(c3nnnn3C3CCCCC3)CC2)CN1)N1CCSC1,4.3,8.366531544
C21H28N6OS,train,O=C([C@@H]1C[C@H](N2CCN(c3ccnn3-c3ccccc3)CC2)CN1)N1CCSC1,0.94,9.026872146
C22H27F3N6OS,train,O=C([C@@H]1C[C@H](N2CCN(c3cc(C(F)(F)F)nn3-c3ccccc3)CC2)CN1)N1CCSC1,0.32,9.494850022
C22H29FN6OS,train,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(F)cc2)n1,2.9,8.537602002
C22H29FN6OS,train,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2cccc(F)c2)n1,0.3,9.522878745
C22H29FN6OS,train,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2F)n1,0.85,9.070581074
C22H29ClN6OS,train,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(Cl)cc2)n1,3.4,8.468521083
C23H29N7OS,train,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(C#N)cc2)n1,12,7.920818754
C21H29N7OS,train,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccncc2)n1,5,8.301029996
C22H30N6OS,train,Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,6.3,8.200659451
C22H30N6OS,train,Cc1cc(N2CCN([C@H]3CN[C@@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,1000,6
C18H28ClN3O,train,CC[C@@H](C[C@H](N)C(=O)N1CCCCC1)NCc1ccc(Cl)cc1,100000,4
C17H26ClN3O,train,C[C@@H](C[C@H](N)C(=O)N1CCCCC1)NCc1ccc(Cl)cc1,325000,3.488116639
